0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"September 19, 2023",,,"November 16, 2023",,,,"December 14, 2023",,,$,0.75,,,$,"5,574",
"November 28, 2023",,,"February 15, 2024",,,,"March 14, 2024",,,,0.75,,,,"5,573",
"March 12, 2024",,,"May 16, 2024",,,,"June 13, 2024",,,,0.75,,,,"5,574",
"June 12, 2024",,,"August 15, 2024",,,,"September 12, 2024",,,,0.75,,,,"5,575",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,,,,,,,,,$,3.00,,,$,"22,296",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fiscal Year 2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"September 20, 2022",,,"November 17, 2022",,,,"December 8, 2022",,,$,0.68,,,$,"5,066",
