Total Revenue,Source,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities
$,Apple_table_10.csv,,,,
8,Apple_table_13.csv,,,,
"383,285",Apple_table_17.csv,$,,,
,Apple_table_19.csv,,$,$,
,Apple_table_20.csv,"96,995",,,
,Apple_table_21.csv,,,,
$,Apple_table_22.csv,,,,
,Apple_table_23.csv,$,,,
$,Apple_table_49.csv,,,,
$,Apple_table_51.csv,,,,
$,Apple_table_9.csv,,,,
,Microsoft_table_108.csv,,,,
,Microsoft_table_25.csv,,,,
,Microsoft_table_26.csv,,,,
,Microsoft_table_46.csv,,,,
,Microsoft_table_50.csv,,,,
,Microsoft_table_70.csv,,,,
,Microsoft_table_75.csv,,,,
5,Tesla_table_10.csv,,,,
,Tesla_table_15.csv,,,,
,Tesla_table_16.csv,,$,$,
"79,113",Tesla_table_17.csv,,,,
,Tesla_table_18.csv,4,,,
,Tesla_table_19.csv,43,,,
,Tesla_table_20.csv,,,,"13,256"
$,Tesla_table_21.csv,,,,
,Tesla_table_23.csv,$,,,
,Tesla_table_24.csv,"3,485",,,
$,Tesla_table_54.csv,,,,
,Tesla_table_60.csv,,$,$,
,Tesla_table_61.csv,,,,
,Tesla_table_7.csv,,,,
,Tesla_table_8.csv,,,,
4,Tesla_table_9.csv,,,,
